id,x,y,name,classname,region,toryvote,population,valgainprivrent,unitsperthouprivrent,valgainall,valgainallpc,aveval,wasparty,isparty,waspartynum,ispartynum,namelen
E14000953,17,44,South West Surrey,South_West_Surrey,South_East,58.7,103467,821.8,59,5046.2,25.4,451742,Con,Con,1,1,17
E14000817,20,46,Mid Sussex,Mid_Sussex,South_East,50.7,106894,719.2,70,2986.4,20.9,306746,Con,Con,1,1,10
W07000047,5,38,Swansea West,Swansea_West,Wales,20.8,81153,168.2,111,-209,-4.4,129268,Lab,Lab,0,0,12
E14000851,12,42,North Swindon,North_Swindon,South_West,44.6,108831,376.5,75,914.2,11.8,163083,Con,Con,1,1,13
E14000947,13,42,South Swindon,South_Swindon,South_West,41.8,103103,439.2,93,920,12.3,162533,Con,Con,1,1,13
E14000986,19,34,Tamworth,Tamworth,West_Midlands,45.8,95733,181,54,319.1,5,158077,Con,Con,1,1,8
E14000987,18,28,Tatton,Tatton,North_West_,54.6,84587,356.2,64,647.2,5.8,294588,Con,Con,1,1,6
E14000988,7,46,Taunton Deane,Taunton_Deane,South_West,42.2,111370,363,82,932.5,10,183743,LD,LD,0,0,13
E14000835,7,47,Newton Abbot,Newton_Abbot,South_West,43,86229,245.5,82,914.7,11.2,199984,Con,Con,1,1,12
E14000799,12,34,Ludlow,Ludlow,West_Midlands,52.8,85112,238.2,85,517,6.3,207689,Con,Con,1,1,6
E14000990,13,40,Tewkesbury,Tewkesbury,South_West,47.2,99322,390.1,67,1283.7,13.3,214676,Con,Con,1,1,10
E14000852,32,45,North Thanet,North_Thanet,South_East,52.7,94620,447,102,1230,15.9,175689,Con,Con,1,1,12
E14000948,32,46,South Thanet,South_Thanet,South_East,48,97148,562,122,1281.1,15.5,178416,Con,Con,1,1,12
E14000995,29,39,Thurrock,Thurrock,East,36.8,118467,575.7,76,1560.9,19.3,168634,Con,Con,1,1,8
E14000996,6,46,Tiverton and Honiton,Tiverton_and_Honiton,South_West,50.3,98622,309.4,78,1013.4,10.1,215564,Con,Con,1,1,20
E14000997,26,47,Tonbridge and Malling,Tonbridge_and_Malling,South_East,57.9,99867,538.7,56,2473.8,17.5,338111,Con,Con,1,1,21
E14000999,6,47,Torbay,Torbay,South_West,38.7,97529,385.5,135,539.1,6.6,169056,LD,LD,0,0,6
W07000053,11,37,Torfaen,Torfaen,Wales,20,81404,91.4,49,-80,-2.2,100602,Lab,Lab,0,0,7
E14001001,6,48,Totnes,Totnes,South_West,45.9,83140,306.3,84,739.1,6.4,260755,Con,Con,1,1,6
E14001003,1,47,Truro and Falmouth,Truro_and_Falmouth,South_West,41.7,90398,254.8,93,742.9,7.1,236742,Con,Con,1,1,18
E14001004,27,47,Tunbridge Wells,Tunbridge_Wells,South_East,56.2,105713,783.3,85,2096.7,14.7,317906,Con,Con,1,1,15
E14000709,19,15,Gateshead,Gateshead,North_East,14.9,94657,164.1,90,-97.5,-2.4,93502,Lab,Lab,0,0,9
E14001006,20,12,Tynemouth,Tynemouth,North_East,34.4,99067,194.8,70,-88.9,-1.3,152403,Lab,Lab,0,0,9
E14000853,19,12,North Tyneside,North_Tyneside,North_East,18.3,102379,148,70,-11.6,-0.2,97993,Lab,Lab,0,0,14
N06000018,6,24,West Tyrone,West_Tyrone,Northern_Ireland,0,91860,27.1,86,-661.1,-20.3,88032,SF,SF,0,0,11
N06000010,6,25,Mid Ulster,Mid_Ulster,Northern_Ireland,0,100842,19.6,73,-1126.8,-29,106311,SF,SF,0,0,10
N06000017,7,25,Upper Bann,Upper_Bann,Northern_Ireland,0,120635,32.3,92,-1121.4,-28.3,80245,DUP,DUP,0,0,10
E14000683,24,20,East Yorkshire,East_Yorkshire,Yorkshire_And_The_Humber,47.5,100928,220.5,92,236.3,3.5,144167,Con,Con,1,1,14
