"name","sA","rA","sC","rC","sG","rG","sH","rH"
"Cedrik-Marcel Stebe","57.0335","38.1584","54.5709","41.2115","59.6026","37.0717","58.0524","35.7576"
"Albert Costa","62.6916","39.27","62.4709","41.3828","62.1324","34.8678","63.2317","36.3871"
"Steve Darcis","62.5737","35.9309","61.5235","36.054","66.3158","34.7085","61.9812","36.3585"
"Jurgen Zopp","60.1652","33.6508","58.2072","37.0986","66.005","25.4144","59.4329","33.5106"
"Maximo Gonzalez","57.0561","38.0067","57.0945","39.3148","55.2561","30.5177","57.3503","35.873"
"Mikhail Kukushkin","60.6129","37.2855","59.0398","38.4017","61.4391","30.3862","61.2526","37.6761"
"Nicolas Kiefer","62.9023","38.7855","59.384","38.7085","65.384","37.9353","63.1052","39.3178"
"Marcos Baghdatis","63.924","37.6982","60.8255","37.9464","65.4134","36.9858","64.2182","37.7806"
"Nicolas Escude","63.0309","38.9709","58.7733","38.8542","64.3152","39.4667","63.7654","39.2558"
"Ivan Ljubicic","65.6813","35.0301","63.3653","37.4511","65.142","36.4885","66.5833","33.9814"
"Leonardo Mayer","65.1077","35.1102","65.3809","36.3197","66.4221","31.4847","64.387","34.4919"
"Bradley Klahn","59.1772","33.711","50.813","39.7196","58.2781","28.7719","60.5769","33.7863"
"Carlos Costa","60.3217","41.7248","60.443","43.6942","59.6374","36.3819","60.1479","38.1688"
"Jiri Novak","62.238","39.8687","60.5306","41.8001","63.1462","36.5854","63.3461","39.3141"
"Agustin Calleri","63.8277","38.3332","63.5227","40.3613","62.3813","33.7882","64.5027","36.1354"
"Juan Ignacio Chela","61.2472","40.0107","59.9818","42.1057","63.0098","35.6555","62.7551","38.1482"
"Paolo Lorenzi","59.2004","36.1716","59.0709","37.5026","62.259","33.6489","58.349","35.1233"
"Jason Stoltenberg","62.5471","39.4204","62.0353","40.9665","64.5862","40.1652","62.1809","39.2279"
"Philipp Kohlschreiber","64.8765","37.1753","62.974","39.1086","68.8897","34.8793","65.1584","36.5118"
"Gilles Simon","62.0436","39.7272","59.6204","42.4261","64.4498","35.7841","62.9527","38.9715"
"Ryan Sweeting","59.4081","36.2782","60.2891","37.9004","59.1743","30.8","59.2398","36.7516"
"Guillermo Perez-Roldan","59.3665","42.0798","59.1647","42.2766","0","0","64.1975","36.9863"
"Karel Novacek","63.3165","38.5225","62.523","40.4926","66.6667","36.0915","64.1026","37.2623"
"Albert Ramos-Vinolas","60.787","37.7651","60.9389","39.1405","51.6393","34.1737","61.1996","35.4083"
"Magnus Larsson","64.9786","36.9633","63.0013","38.7106","66.4515","36.0577","65.8741","36.2268"
"Santiago Giraldo","62.0881","36.4598","61.8642","38.0402","65.1307","32.9817","61.5336","35.8941"
"Illya Marchenko","60.0102","36.8924","56.2338","35.7576","63.8238","34.3109","59.7219","37.7238"
"Yen-Hsun Lu","62.2587","35.9849","57.5375","34.0273","64.442","33.2371","62.1067","36.9027"
"Mikhail Youzhny","62.6682","38.8146","60.6282","39.785","63.7524","37.7738","63.2466","38.5186"
"Thomaz Bellucci","62.5275","37.0324","62.7653","38.9372","62.4506","34.4545","62.2527","34.9842"
"Filippo Volandri","57.939","40.977","58.5933","43.0552","57.2957","34.1164","55.5437","33.8991"
"Juan Monaco","61.1125","40.7074","61.3826","42.1095","65.0972","34.3819","60.263","39.1301"
"Taylor Dent","64.0599","36.5854","56.5292","40.5207","66.5407","35.3945","63.8522","36.6783"
"Arnaud Boetsch","62.3304","39.3205","59.4448","41.6024","64.0149","35.5932","62.3406","38.994"
"Viktor Troicki","62.4348","38.6492","60.4332","40.304","65.4913","34.9831","62.9411","38.4556"
"Alexandr Dolgopolov","63.8772","37.3248","62.9197","38.2527","66.9828","33.9201","63.8211","37.4367"
"Ernests Gulbis","64.934","35.8767","64.3289","38.0566","68.4446","28.2364","64.6882","35.7229"
"Aaron Krickstein","61.2032","40.1915","58.0715","41.9989","62.9306","39.5469","62.1167","40.2805"
"Sam Querrey","66.6217","34.6901","63.6456","35.5103","69.5001","33.2011","66.719","34.8985"
"Alberto Berasategui","59.389","42.2689","59.8168","43.5037","47.4453","32.3741","58.029","38.8047"
