name,sA,rA,sC,rC,sG,rG,sH,rH
Oliver Gross,57.902,39.417,59.145,40.254,56.593,31.25,57.626,37.829
Diego Nargiso,60.471,37.001,55.713,37.321,62.048,33.806,60.823,37.547
Leonardo Lavalle,60.427,37.497,51.163,38.333,68.782,36.017,59.151,38.12
Andrew Ilie,60.106,36.769,58.986,37.467,58.876,35.694,60.399,36.581
Jean-Philippe Fleurian,59.692,37.243,58.585,39.702,62.489,35.466,60.013,36.364
Jean-Rene Lisnard,57.124,40.255,55.484,40.517,56.013,34.985,57.429,38.473
John van Lottum,60.085,37.276,57.371,41.691,61.218,36.152,60.546,36.512
Sergio Roitman,57.912,39.631,57.896,40.614,58.599,25.418,56.178,35.679
Vladimir Voltchkov,61.345,36.023,53.312,38.215,62.387,36.212,62.105,35.457
Christophe Rochus,57.808,39.459,55.592,41.59,56.751,32.207,57.318,37.183
Attila Savolt,60.116,37.205,60.64,39.757,61.983,23.636,61.643,33.333
Stefano Pescosolido,59.801,37.262,58.707,37.643,59.888,33.461,59.66,36.785
Olivier Delaitre,60.116,37.298,56.289,38.832,61.189,34.686,60.063,36.545
Galo Blanco,59.973,37.067,59.879,38.634,57.809,28.752,60.168,33.976
Oscar Martinez,56.388,40.633,55.729,39.731,50,36.957,56.649,41.033
Jiri Vanek,59.866,37.138,58.544,39.162,58.904,26.094,59.837,32.644
Julian Alonso,58.787,38.04,59.189,39.058,57.789,25.153,58.134,37.307
Tomas Nydahl,59.72,37.58,56.84,42.063,61.168,33.333,59.393,35.261
Joern Renzenbrink,61.793,34.737,57.97,32.22,58.133,33.434,63.243,35.61
Wayne Black,58.731,38.413,52.768,39.966,57.525,38.231,59.309,37.73
Brian Vahaly,59.563,37.718,53.822,44.254,59.288,37.866,60.269,37.718
Oscar Hernandez,59.299,37.717,59.503,37.751,52.93,25.107,57.033,31.122
Lionel Roux,60.462,36.216,57.944,39.158,53.684,29.613,60.72,35.66
Ronald Agenor,58.754,38.265,57.766,39.47,58.537,36.964,59.051,37.713
Michal Tabara,57.552,39.785,57.238,38.977,60.773,31.053,58.678,39.102
Jan Kroslak,59.332,37.316,53.665,38.3,55.94,38.117,59.913,36.09
Dennis van Scheppingen,60.453,36.613,55.497,36.637,62.667,37.137,60.435,35.904
Markus Hantschk,60.1,36.351,61.027,36.516,57.46,32.18,59.608,36.087
Rodolphe Gilbert,60.092,36.764,57.812,38.487,61.198,34.023,61.112,36.445
Christian Saceanu,61.496,35.36,55.298,38.49,64.473,35.415,59.395,34.271
Lars Jonsson,58.035,38.768,56.677,40.097,56.598,38.085,58.444,36.427
Leander Paes,61.146,35.547,54.777,40.385,64.806,37.236,58.749,34.553
Mark Koevermans,58.384,38.648,58.753,40.764,49.419,26.573,58.12,35.232
Juan Albert Viloca-Puig,59.791,37.091,60.382,38.528,59.737,37.87,58.83,35.704
Olivier Mutis,57.474,39.053,57.285,42.357,59.37,37.43,57.556,34.519
Markus Naewie,58.594,38.253,59.283,38.065,52.137,36.842,60.208,37.765
Mikael Pernfors,58.323,38.896,57.211,41.975,0,0,58.226,39.935
Laurence Tieleman,62.469,33.752,55.799,29.146,64.16,33.884,63.452,35.162
Jan Vacek,60.618,35.744,56.913,37.694,62.24,36.519,59.629,34.517
Stephane Simian,61.991,34.236,58.999,34.667,63.364,34.002,61.604,34.813
Tomas Behrend,58.901,37.552,58.579,39.391,53.503,29.921,58.836,34.49
Jan Gunnarsson,57.659,38.37,54.444,43.017,65.294,37.63,55,29.495
Frederik Fetterlein,58.369,38.172,54.877,41.244,62.134,37.143,56.851,37.13
Johan Van Herck,60.377,36.092,57.151,38.816,58.639,32.909,62.266,35.52
Veli Paloheimo,54.451,42.229,51.603,46.266,58.034,37.747,54.506,38.589
Juan Antonio Marin,56.842,39.471,57.679,40.703,47.561,31.854,55.887,37.496
Andre Sa,57.832,38.592,52.643,40.091,59,37.093,59.527,38.387
Roberto Carretero,58.271,38.047,59.567,39.932,0,0,49.14,35.701
Cristiano Caratti,58.168,38.143,54.637,40.903,58.735,33.793,58.905,38.542
Daniele Bracciali,61.642,34.366,61.732,35.272,66.009,31.905,61.933,33.134
Jeremy Bates,59.586,36.517,47.312,38.308,62.878,36.48,55.894,36.296
Marian Vajda,55.142,40.814,55.442,41.971,55.446,35.897,57.168,40.485
Martin Sinner,60.763,35.238,56.275,35.971,55.645,34.748,60.594,34.72
Jacobo Diaz,57.988,37.808,57.476,40.659,54.348,20.588,59.798,32.771
Werner Eschauer,60.119,34.915,59.47,36.7,59.603,32.075,60.034,31.555
Andrei Stoliarov,57.816,37.502,56.155,38.268,58.93,35.343,57.949,36.744
Irakli Labadze,58.795,36.444,58.464,39.161,60.571,34.637,58.896,34.808
Tomas Zib,59.857,35.322,56.651,37.198,62.114,32.333,60.955,34.138
Frederic Fontang,54.065,41.442,54.364,39.654,45.833,40.952,53.83,42.608
Eduardo Masso,54.565,40.958,51.779,42.735,55,38.356,55.923,38.592
Marcello Craca,57.098,38.611,56.56,40.471,57.018,15.842,58.893,38.914
David Rikl,57.813,36.949,57.937,38.681,57.089,34.966,59.367,34.823
Fernando Roese,58.091,36.854,59.641,37.611,54.777,29.252,50,32.708
Martin Rodriguez,59.929,34.903,60.771,36.592,58.209,42.336,59.512,30.529
Bart Wuyts,52.364,42.551,54.506,43.616,43.023,29.87,52.553,40.554
Nuno Marques,58.188,36.154,55.576,38.609,55.793,31.455,62.307,36.168
Federico Luzzi,57.32,36.383,57.287,38.71,0,0,56.452,33.133
Dinu Pescariu,56.325,36.974,56.316,37.868,58.099,31.111,55.902,32.347
German Puentes,55.223,37.672,54.908,39.524,63.366,33.155,53.058,32.639
Lars Koslowski,55.098,38.157,54.155,36.842,42.553,21.795,57.339,35.689
Kris Goossens,53.899,38.669,58.36,40.561,50,37.692,47.536,37.5
Patrik Fredriksson,56.497,35.818,55.349,37.325,55.789,32.11,57.46,35.268
Daniel Elsner,55.35,36.277,56.94,36.229,53.913,35.652,52.953,38.16
Roberto Azar,55.964,36.238,54.958,37.386,50.562,22.293,58.133,30.313
