name,sA,rA,sC,rC,sG,rG,sH,rH
Dmitry Tursunov,64.21,36.433,60.124,37.157,65.707,34.445,63.685,36.256
Ivan Dodig,63.647,37.262,60.31,37.385,66.474,33.405,63.512,37.109
Marco Chiudinelli,63.355,37.366,63.494,32.587,58.031,35.253,62.319,35.274
Thomas Johansson,64.305,36.827,59.769,36.647,65.269,36.288,64.979,36.786
Marinko Matosevic,61.672,39.106,58.283,38.217,61.372,35.465,60.712,37.027
Matthew Ebden,62.879,37.917,49.451,33.263,60.802,33.644,60.538,35.133
Michael Berrer,64.655,36.575,60,35.719,66.074,30.348,63.252,35.05
Grega Zemlja,62.663,38.355,59.561,38.185,66.207,31.811,60.802,35.775
Jan-Michael Gambill,64.311,36.293,60.977,35.869,66.972,34.685,64.216,36.987
Jarkko Nieminen,61.913,38.895,59.424,40.586,63.86,34.594,62.335,38.244
Eduardo Schwank,62.779,38.114,61.495,37.351,56.681,29.897,62.379,33.065
Joao Sousa,60.797,40.071,57.718,37.53,65.764,36.276,60.509,36.121
Boris Pashanski,61.28,39.438,57.209,36.145,58.491,27.347,60.182,35.12
Frank Dancevic,65.081,36.092,61.244,32.361,66.327,32.98,62.295,32.955
Lukas Lacko,64.163,36.775,57.881,30.504,65.155,32.459,61.94,34.934
Vasek Pospisil,65.221,35.499,59.113,31.889,65.842,32.817,65.389,34.491
Alex Bogomolov Jr.,60.612,40.073,55.285,39.246,61.35,36.597,59.688,37.38
Denis Istomin,64.511,36.42,61.697,35.081,68.191,33.792,63.649,35.97
Robby Ginepri,62.89,37.972,60.52,36.925,62.48,35.992,63.102,37.502
Alejandro Gonzalez,60.105,40.853,55.684,38.243,58.865,30.667,60.239,36.928
Somdev Devvarman,60.876,40.024,57.919,36.879,60.196,31.603,60.247,37.67
Francisco Clavet,60.295,40.825,59.466,41.62,61.422,38.587,61.485,38.823
Adrian Mannarino,62.527,38.356,54.588,36.735,62.768,35.578,60.72,35.368
Ivo Karlovic,72.223,28.774,70.257,28.587,74.965,28.43,72.443,28.318
Nicolas Mahut,65.801,35.064,59.363,35.837,68.863,33.827,63.6,33.391
Younes El Aynaoui,64.271,36.432,63.266,38.681,66.569,35.283,64.424,34.119
Jakob Hlasek,63.554,37.315,59.651,37.709,65.575,37.83,64.384,37.491
Amos Mansdorf,62.258,38.469,57.455,37.063,62.332,35.922,62.466,38.989
Brett Steven,62.147,38.57,56.156,37.221,64.215,40.27,62.161,38.683
Victor Hanescu,63.96,36.698,63.096,38.252,64.98,32.376,62.915,33.51
Jonathan Stark,65.213,35.653,63.325,34.36,67.865,34.395,64.405,36.619
Marsel Ilhan,62.69,38.083,61.194,35.272,63.748,36.391,61.161,34.087
Goran Prpic,59.376,41.496,58.657,43.994,64.471,35.095,60.167,39.036
Ivo Minar,62.894,37.666,59.901,36.712,62.319,32.964,60.993,35.052
Chris Woodruff,62.428,38.309,58.227,40.461,63.478,36.495,63.386,38.362
Lukas Rosol,63.325,37.166,62.534,36.833,67.165,30.083,60.896,33.92
Henri Leconte,62.213,38.376,59.265,37.217,67.305,38.667,62.296,38.958
Marc Gicquel,63.37,37.43,59.637,37.251,64.573,33.992,63.465,35.524
Gilles Muller,68.025,32.291,59.843,31.575,67.492,27.963,66.423,31.489
Paradorn Srichaphan,63.949,36.616,59.467,36.833,64.282,35.029,64.612,36.853
Michael Russell,60.934,39.709,56.178,36.609,60.661,36.37,60.137,37.434
Andrey Golubev,63.431,37.098,59.779,37.124,59.663,27.285,62.286,34.717
Ruben Ramirez Hidalgo,59.682,40.686,58.58,38.814,58.709,28.258,55.706,35.08
Shuzo Matsuoka,64.964,35.309,61.133,40.16,68.001,33.653,63.805,35.852
Robert Kendrick,64.758,35.956,58.782,31.903,63.509,30.313,63.04,33.934
Rajeev Ram,65.479,35.565,55.645,30.693,65.691,33.461,61.531,32.109
Dustin Brown,64.79,35.602,63.36,33.393,66.685,31.217,63.119,34.991
Michael Llodra,65.618,34.836,60.375,34.5,69.001,36.38,65.624,34.376
Anders Jarryd,61.682,39.123,52.836,38.978,60.609,38.696,62.184,39.031
Sjeng Schalken,61.875,38.739,58.886,40.389,64.713,38.013,62.447,38.104
Benjamin Becker,65.436,35.489,60.312,31.954,67.659,34.354,63.762,34.002
Andrei Pavel,62.414,38.248,61.19,40.201,63.117,37.017,62.752,37.391
Daniel Gimeno-Traver,63.159,37.733,60.927,37.171,59.15,29.062,61.598,33.679
Donald Young,60.423,39.993,57.862,38.02,59.707,35.871,58.881,37.352
Martin Verkerk,65.131,34.673,64.138,41.237,67.093,26.236,65.467,29.027
Igor Andreev,63.72,36.993,63.097,38.769,65.32,33.663,63.594,35.924
Jeremy Chardy,64.677,35.792,62.561,37.762,68.247,32.333,64.253,34.4
Evgeny Korolev,61.883,38.549,58.904,36.093,61.512,33.757,61.881,37.054
Slava Dosedel,58.901,41.642,57.836,42.639,59.479,37.969,60.253,39.672
Derrick Rostagno,61.832,38.523,59.561,39.581,62.992,39.862,61.877,37.708
Marcel Granollers,61.421,39.22,59.764,39.274,64.793,34.122,61.24,36.986
Bobby Reynolds,63.828,36.703,61.528,32.684,61.375,31.441,60.957,34.001
Simone Bolelli,64.431,36.014,62.698,36.073,64.703,29.995,64.078,32.001
Andres Gomez,60.952,38.938,60.38,36.698,0,0,57.332,37.888
Mariano Puerta,63.07,37.151,62.652,39.037,57.835,33.136,63.238,34.666
Kenny De Schepper,66.683,33.653,59.853,30.698,68.72,28.924,65.044,31.305
Potito Starace,62.645,37.69,62.07,38,56.784,26.081,61.312,34.285
Mark Woodforde,61.869,38.685,59.439,39.788,64.149,36.538,61.772,38.883
Andreas Seppi,61.909,38.628,60.391,39.849,63.707,36.497,61.939,36.845
Frederico Gil,61.077,39.288,59.7,39.417,60,32.011,59.36,34.531
Jan Hernych,61.509,38.844,56.416,38.434,61.637,35.63,59.649,38.333
Arnaud Clement,61.787,38.301,57.673,40.447,63.714,37.113,62.442,37.69
Benoit Paire,60.685,39.517,59.094,39.068,63.655,36.05,61.16,38.105
Jose Acasuso,62.693,37.663,61.996,39.704,57.45,25.316,63.205,34.704
Darren Cahill,62.483,37.491,57.534,40.764,62.581,30.303,62.053,37.472
Jonas Svensson,59.781,40.303,57.197,40.7,62.022,40.781,61.546,39.265
Chris Guccione,69.547,30.844,61.263,31.918,69.885,27.855,68.033,27.817
Fabrice Santoro,60.18,39.935,57.822,41.282,63.234,37.326,60.71,39.477
Emilio Sanchez,61.707,38.361,61.54,39.523,55.435,28.826,63.097,36.466
Jan Siemerink,64.258,35.463,60.45,35.191,64.22,35.339,64.496,35.248
Philipp Petzschner,63.912,36.199,60.845,36.088,64.637,34.617,64.109,35.863
Teymuraz Gabashvili,61.819,38.312,58.661,38.078,63.518,32.215,61.138,35.214
Daniel Brands,66.311,33.88,64.585,32.265,66.826,32.08,65.808,30.839
Pablo Andujar,59.219,41.044,59.642,40.644,53.661,31.03,57.432,38.057
Mariano Zabaleta,61.458,38.807,61.927,40.336,57.528,30.713,61.852,35.915
Nicolas Lapentti,61.581,38.521,61.207,40.071,60.975,35.724,62.022,36.655
Richard Fromberg,63.192,36.615,62.015,38.061,65.516,32.725,64.243,35.754
Max Mirnyi,66.456,33.614,63.817,34.612,69.043,34.181,66.942,32.832
Bernard Tomic,64.03,35.673,57.366,36.654,67.253,33.137,63.994,34.276
Alexander Volkov,61.161,38.752,57.014,40.16,61.321,38.698,62.082,38.366
Robin Vik,59.931,40.159,56.185,42.901,58.073,33.051,58.525,36.212
Alejandro Falla,60.799,39.203,59.606,38.009,62.665,33.673,59.139,37.488
Christian Bergstrom,59.59,40.459,57.802,41.191,59.01,39.702,60.401,40.735
Byron Black,60.793,39.328,56.915,37.533,61.264,40.877,60.977,38.641
Paul Haarhuis,61.969,37.878,59.056,40.083,62.309,37.034,63.47,37.19
Jerome Golmard,63.069,36.708,59.631,38.931,63.3,35.634,64.691,36.405
Jaime Yzaga,59.572,40.445,58.438,41.75,60.26,39.148,60.258,39.242
Henrik Holm,61.768,37.791,58.719,37.324,65.827,36.82,60.8,38.71
Luis Horna,63.141,36.344,63.193,38.184,59.562,26.476,63.87,32.971
Simon Greul,60.68,39.211,59.523,35.857,58.074,35.095,59.893,34.916
Vincent Spadea,60.603,39.06,58.299,41.166,61.271,36.553,61.254,38.878
Fernando Meligeni,60.308,39.302,60.2,40.85,57.627,33.831,60.705,37.16
Mischa Zverev,61.019,38.873,59.173,37.589,61.816,35.337,59.976,36.912
Peter Luczak,63.274,36.536,59.885,34.193,64.018,33.499,62.337,32.496
Jurgen Melzer,62.462,37.213,61.131,39.084,64.295,34.817,62.572,36.042
Nicolas Massu,61.055,38.49,60.58,39.382,64.5,32.572,61.737,36.837
Julien Benneteau,62.146,37.554,59.275,38.434,64.468,34.966,62.144,37.469
Jordi Arrese,58.02,41.75,57.698,41.297,55.682,14.754,52.952,35.628
Andreas Vinciguerra,61.858,37.692,58.885,40.745,59.891,34.61,62.938,35.701
Michel Kratochvil,60.291,39.112,58.503,41.378,60.989,39.592,60.483,38.119
Todd Woodbridge,60.007,39.555,55.188,40.135,61.577,40.632,60.544,39.547
Wayne Arthurs,69.51,29.94,66.293,31.188,73.042,30.376,68.58,29.091
Nicolas Devilder,59.393,39.859,58.623,39.038,59.361,33.838,57.657,36.173
Bjorn Phau,60.688,39.042,57.441,39.046,60.638,32.722,59.081,37.265
Diego Junqueira,57.86,41.823,54.982,38.556,46.154,19.672,53.915,31.354
Olivier Rochus,61.289,38.305,58.189,38.614,63.255,35.525,60.79,38.146
Jamie Morgan,64.236,35.31,59.571,35.524,66.771,33.121,64.188,36.442
Thierry Ascione,62.406,36.562,57.805,37.931,54.599,25.306,62.722,32.812
Hernan Gumy,60.339,39.379,59.997,41.013,56.615,26.056,60.394,37.334
Marc-Kevin Goellner,63.902,35.098,62.248,37.217,66.039,31.755,63.934,33.746
Alberto Mancini,61.33,38.173,61.28,39.544,0,0,62.335,35.938
Andrei Chesnokov,58.097,41.364,57.256,45.053,58.51,35.231,58.874,39.174
Stefan Koubek,60.635,38.778,58.363,39.747,60.639,36.767,60.579,37.864
Denis Gremelmayr,61.223,38.136,58.843,38.231,58.598,30.556,56.837,35.138
Ryan Harrison,62.283,36.831,61.142,33.361,63.611,33.7,61.359,35.043
Feliciano Lopez,66.104,33.107,63.957,34.385,70.476,32.42,65.693,32.473
Hyung-Taik Lee,62.144,37.435,60.573,38.722,63.196,37.046,61.979,37.565
Kenneth Carlsen,64.624,34.864,59.177,36.029,65.78,34.673,64.922,34.341
Flavio Saretta,58.832,40.653,58.483,41.594,63.11,37.377,58.327,39.422
Albert Montanes,61.367,38.003,61.483,39.469,62.808,31.276,60.04,33.431
Patrick McEnroe,59.782,39.593,56.83,40.529,58.448,39.081,60.228,40.25
Franco Squillari,59.402,39.918,59.597,41.692,60.751,31.684,59.189,37.604
Andrea Gaudenzi,59.677,39.955,60.016,41.717,57.895,32.473,59.419,37.479
Sandon Stolle,62.147,37.031,58.78,35.308,65.542,36.263,60.398,37.664
Jared Palmer,61.704,37.113,59.891,38.517,62.323,33.392,61.745,38.162
Hicham Arazi,60.886,38.4,58.681,41.486,62.541,36.534,61.911,36.697
Alex Radulescu,65.195,33.954,59.199,28.932,67.768,33.524,65.853,34.319
Jim Grabb,63.496,35.703,59.459,34.259,63.908,34.635,63.442,35.295
Gilbert Schaller,57.843,41.841,57.99,44.13,56.044,35,56.61,37.822
Lukasz Kubot,60.839,38.23,59.24,37.405,65.952,34.808,60.207,36.982
Kevin Kim,60.854,38.573,55.388,36.104,61.148,34.118,60.417,36.552
Renzo Furlan,59.956,39.523,58.489,40.624,61.081,36.556,61.649,37.639
Javier Sanchez,60.494,38.872,59.977,40.539,61.407,31.789,59.983,36.986
Cecil Mamiit,59.862,39.347,58.22,38.67,58.06,38.069,59.086,38.164
Roko Karanusic,60.575,39.03,56.509,37.908,63.892,34.217,61.359,35.004
Bryan Shelton,64.094,35.053,61.433,36.483,65.204,35.108,63.018,34.303
Peter Wessels,65.399,33.943,63.144,35.751,69.029,32.251,64.014,33.859
Jerome Haehnel,62.581,36.663,53.93,32.935,60,31.12,64.418,34.137
Flavio Cipolla,57.485,41.849,53.364,38.889,51.986,34.185,55.533,39.688
Guillermo Garcia-Lopez,60.586,38.704,59.297,40.451,63.96,36.709,59.891,37.084
Juan Balcells,63.774,35.27,63.465,35.875,61.28,29.967,63.403,35.221
Marcos Daniel,62.343,36.341,59.235,34.95,56.415,29.505,58.917,30.961
Jimmy Connors,58.41,40.549,53.56,35.855,62.075,38.879,57.934,41.424
Bernd Karbacher,60.482,38.366,60.78,39.965,57.873,34.062,60.656,37.756
Michael Tebbutt,62.75,35.74,60.674,34.839,60.293,37.686,63.595,35.187
Santiago Ventura,58.881,40.044,58.457,39.477,55.018,32.841,58.487,35.217
Omar Camporese,61.692,37.155,57.682,37.265,63.434,33.191,62.834,37.855
Bohdan Ulihrach,59.799,39.382,58.663,40.578,58.172,34.731,60.761,37.813
Mikael Tillstrom,60.631,38.416,58.692,38.604,63.053,32.274,60.781,39.196
Christo Van Rensburg,60.854,38.449,57.746,33.803,62.412,39.595,58.798,38.794
Franco Davin,56.78,42.282,57.695,42.329,0,0,51.269,40.822
Guillaume Raoux,62.846,35.989,58.877,37.578,63.521,36.414,63.2,35.095
Jaime Oncins,58.021,41.374,57.818,41.706,58.423,37.278,55.798,38.014
Fabio Fognini,58.942,39.947,59.138,41.224,60.3,35.831,57.637,37.332
Jeff Tarango,60.427,38.556,57.395,39.797,60.392,37.368,61.036,37.69
Tomas Carbonell,57.769,41.342,57.078,42.576,56.627,38.472,58.654,39.281
Martin Vassallo Arguello,60.066,38.932,59.506,38.676,57.55,30.419,57.573,32.875
Kristof Vliegen,62.52,36.538,60.047,38.363,64.503,32.586,63.213,34.847
Christian Miniussi,59.428,39.6,59.885,38.671,53.684,29.07,57.875,37.182
Chuck Adams,63.023,35.956,59.794,29.091,61.17,35.123,62.515,36.478
Amer Delic,64.591,34.419,59.71,30.55,65.939,29.321,63.265,33.258
Andrei Olhovskiy,62.881,36.155,58.244,36.604,64.661,36.406,63.298,34.757
