race,pseudoScore,repayRate,y,canPay,y_all
white,370,0.15732245288756677,1,TRUE,1
white,380,0.17504361896878234,1,TRUE,1
white,390,0.19430067456383626,1,TRUE,1
white,400,0.21512380717862575,1,TRUE,1
white,410,0.23752066803211946,1,TRUE,1
white,420,0.26147249689033253,1,TRUE,1
white,430,0.2869307343366315,1,TRUE,1
white,440,0.31381444673446657,1,TRUE,1
white,440,0.31381444673446657,2,TRUE,2
white,450,0.3420088922439928,1,TRUE,1
white,450,0.3420088922439928,2,TRUE,2
white,460,0.37136552196288253,1,TRUE,1
white,460,0.37136552196288253,2,TRUE,2
white,460,0.37136552196288253,3,TRUE,3
white,470,0.4017036337025683,1,TRUE,1
white,470,0.4017036337025683,2,TRUE,2
white,470,0.4017036337025683,3,TRUE,3
white,470,0.4017036337025683,4,TRUE,4
white,470,0.4017036337025683,5,TRUE,5
white,480,0.43281377852929775,1,TRUE,1
white,480,0.43281377852929775,2,TRUE,2
white,480,0.43281377852929775,3,TRUE,3
white,480,0.43281377852929775,4,TRUE,4
white,480,0.43281377852929775,5,TRUE,5
white,480,0.43281377852929775,6,TRUE,6
white,490,0.46446287122624075,1,TRUE,1
white,490,0.46446287122624075,2,TRUE,2
white,490,0.46446287122624075,3,TRUE,3
white,490,0.46446287122624075,4,TRUE,4
white,490,0.46446287122624075,5,TRUE,5
white,490,0.46446287122624075,6,TRUE,6
white,490,0.46446287122624075,7,TRUE,7
white,490,0.46446287122624075,8,TRUE,8
white,500,0.49640079215998273,1,TRUE,1
white,500,0.49640079215998273,2,TRUE,2
white,500,0.49640079215998273,3,TRUE,3
white,500,0.49640079215998273,4,TRUE,4
white,500,0.49640079215998273,5,TRUE,5
white,500,0.49640079215998273,6,TRUE,6
white,500,0.49640079215998273,7,TRUE,7
white,500,0.49640079215998273,8,TRUE,8
white,500,0.49640079215998273,9,TRUE,9
white,510,0.5283681120753212,1,TRUE,1
white,510,0.5283681120753212,2,TRUE,2
white,510,0.5283681120753212,3,TRUE,3
white,510,0.5283681120753212,4,TRUE,4
white,510,0.5283681120753212,5,TRUE,5
white,510,0.5283681120753212,6,TRUE,6
white,510,0.5283681120753212,7,TRUE,7
white,510,0.5283681120753212,8,TRUE,8
white,510,0.5283681120753212,9,TRUE,9
white,510,0.5283681120753212,10,TRUE,10
white,510,0.5283681120753212,11,TRUE,11
white,510,0.5283681120753212,12,TRUE,12
white,520,0.5601044470490575,1,TRUE,1
white,520,0.5601044470490575,2,TRUE,2
white,520,0.5601044470490575,3,TRUE,3
white,520,0.5601044470490575,4,TRUE,4
white,520,0.5601044470490575,5,TRUE,5
white,520,0.5601044470490575,6,TRUE,6
white,520,0.5601044470490575,7,TRUE,7
white,520,0.5601044470490575,8,TRUE,8
white,520,0.5601044470490575,9,TRUE,9
white,520,0.5601044470490575,10,TRUE,10
white,520,0.5601044470490575,11,TRUE,11
white,520,0.5601044470490575,12,TRUE,12
white,520,0.5601044470490575,13,TRUE,13
white,530,0.5913568787103964,1,TRUE,1
white,530,0.5913568787103964,2,TRUE,2
white,530,0.5913568787103964,3,TRUE,3
white,530,0.5913568787103964,4,TRUE,4
white,530,0.5913568787103964,5,TRUE,5
white,530,0.5913568787103964,6,TRUE,6
white,530,0.5913568787103964,7,TRUE,7
white,530,0.5913568787103964,8,TRUE,8
white,530,0.5913568787103964,9,TRUE,9
white,530,0.5913568787103964,10,TRUE,10
white,530,0.5913568787103964,11,TRUE,11
white,530,0.5913568787103964,12,TRUE,12
white,530,0.5913568787103964,13,TRUE,13
white,530,0.5913568787103964,14,TRUE,14
white,530,0.5913568787103964,15,TRUE,15
white,540,0.6218878672723317,1,TRUE,1
white,540,0.6218878672723317,2,TRUE,2
white,540,0.6218878672723317,3,TRUE,3
white,540,0.6218878672723317,4,TRUE,4
white,540,0.6218878672723317,5,TRUE,5
white,540,0.6218878672723317,6,TRUE,6
white,540,0.6218878672723317,7,TRUE,7
white,540,0.6218878672723317,8,TRUE,8
white,540,0.6218878672723317,9,TRUE,9
white,540,0.6218878672723317,10,TRUE,10
white,540,0.6218878672723317,11,TRUE,11
white,540,0.6218878672723317,12,TRUE,12
white,540,0.6218878672723317,13,TRUE,13
white,540,0.6218878672723317,14,TRUE,14
white,540,0.6218878672723317,15,TRUE,15
white,540,0.6218878672723317,16,TRUE,16
white,550,0.6514821432336658,1,TRUE,1
white,550,0.6514821432336658,2,TRUE,2
white,550,0.6514821432336658,3,TRUE,3
white,550,0.6514821432336658,4,TRUE,4
white,550,0.6514821432336658,5,TRUE,5
white,550,0.6514821432336658,6,TRUE,6
white,550,0.6514821432336658,7,TRUE,7
white,550,0.6514821432336658,8,TRUE,8
white,550,0.6514821432336658,9,TRUE,9
white,550,0.6514821432336658,10,TRUE,10
white,550,0.6514821432336658,11,TRUE,11
white,550,0.6514821432336658,12,TRUE,12
white,550,0.6514821432336658,13,TRUE,13
white,550,0.6514821432336658,14,TRUE,14
white,550,0.6514821432336658,15,TRUE,15
white,550,0.6514821432336658,16,TRUE,16
white,550,0.6514821432336658,17,TRUE,17
white,550,0.6514821432336658,18,TRUE,18
white,560,0.6799521777323727,1,TRUE,1
white,560,0.6799521777323727,2,TRUE,2
white,560,0.6799521777323727,3,TRUE,3
white,560,0.6799521777323727,4,TRUE,4
white,560,0.6799521777323727,5,TRUE,5
white,560,0.6799521777323727,6,TRUE,6
white,560,0.6799521777323727,7,TRUE,7
white,560,0.6799521777323727,8,TRUE,8
white,560,0.6799521777323727,9,TRUE,9
white,560,0.6799521777323727,10,TRUE,10
white,560,0.6799521777323727,11,TRUE,11
white,560,0.6799521777323727,12,TRUE,12
white,560,0.6799521777323727,13,TRUE,13
white,560,0.6799521777323727,14,TRUE,14
